selection_manual_fix,weighted_votes
"Jeanne Dielman, 23 Quai Du Commerce, 1080 Bruxelles",64
Vertigo,47.5
Citizen Kane,41.5
Do The Right Thing,30
Killer Of Sheep,30
2001: A Space Odyssey,28.5
Tokyo Story,28.5
In The Mood For Love,24
Man With A Movie Camera,24
Close-Up,22.5
Seven Samurai,22.5
Mulholland Dr.,21
Au Hasard Balthazar,20.5
La Règle Du Jeu,19.5
The Godfather,19.5
Late Spring,19
Meshes Of The Afternoon,19
News From Home,19
Singin' In The Rain,19
Sunrise: A Song Of Two Humans,19
Daughters Of The Dust,18.5
The Battle Of Algiers,18.5
The Passion Of Joan Of Arc,18.5
Playtime,17.5
Psycho: 1960,16
Casablanca,15.5
Shoah,15.5
Sherlock Jr.,15
Beau Travail,14.5
Cléo From 5 To 7,14.5
The Gleaners And I,14.5
The Searchers,14.5
Bicycle Thieves,13.5
Daisies,13.5
Wanda,13.5
The Night Of The Hunter,13
Sans Soleil,12
The General,12
City Lights,11.5
Madame De...,11.5
Sansho The Bailiff,11.5
The Piano,11.5
Fear Eats The Soul,11
L'atalante,11
L'avventura,11
M,11
A Brighter Summer Day,10.5
North By Northwest,10.5
Ugetsu Monogatari,10.5
A Woman Under The Influence,10
Persona,10
The Godfather Part Ii,10
The Magnificent Ambersons,10
The Wizard Of Oz,10
The Red Shoes,9.5
West Indies: The Fugitive Slaves Of Liberty,9.5
Black Girl,9
Imitation Of Life: 1959,9
Lawrence Of Arabia,9
Notorious,9
Only Angels Have Wings,9
Pather Panchali,9
Symbiopsychotaxiplasm: Take One,9
The Watermelon Woman,9
Yi Yi,9
Céline And Julie Go Boating,8.5
Get Out,8.5
La Jetée,8.5
Memories Of Underdevelopment,8.5
A Man Escaped,8
An Autumn Afternoon,8
Barry Lyndon,8
His Girl Friday,8
Moonlight,8
Rear Window,8
The Third Man,8
Blue Velvet,7.5
Chungking Express,7.5
Goodfellas,7.5
Nashville,7.5
The House Is Black,7.5
Trouble In Paradise,7.5
8½,7
Chinatown,7
Flowers Of Shanghai,7
"Goodbye, Dragon Inn",7
Harlan County Usa,7
In A Lonely Place,7
Losing Ground,7
Modern Times,7
Paris Is Burning,7
Sambizanga,7
The Best Years Of Our Lives,7
The Spirit Of The Beehive,7
The Texas Chain Saw Massacre,7
À Bout De Souffle,6.5
I Know Where I'm Going!,6.5
Metropolis,6.5
Mirror,6.5
Taxi Driver,6.5
The Ascent,6.5
All About My Mother,6
All My Life,6
All That Jazz,6
Bara No Soretsu,6
Born In Flames,6
Bringing Up Baby,6
Double Indemnity,6
Jaws,6
Meghe Dhaka Tara,6
Once Upon A Time In The West,6
Ordet,6
Out Of The Past,6
Portrait Of A Lady On Fire,6
Rio Bravo,6
Sunset Blvd.,6
The Conformist,6
The Tree Of Life,6
A Matter Of Life And Death,5.5
Jules Et Jim,5.5
La Dolce Vita,5.5
Rashomon,5.5
The 400 Blows,5.5
The Crowd,5.5
Touch Of Evil,5.5
Wavelength,5.5
A Touch Of Zen,5
Andrei Rublev,5
Artificial Intelligence  A.i.,5
Battleship Potemkin,5
Dr. Strangelove Or: How I Learned To Stop Worrying And Love The Bomb,5
Gertrud,5
Intolerance,5
It's A Wonderful Life,5
L'argent,5
Le Mépris,5
Les Enfants Du Paradis,5
Love Streams,5
Mccabe & Mrs. Miller,5
Out 1,5
Personal Problems,5
Portrait Of Jason,5
Raging Bull,5
Stalker,5
The Birds,5
The Chelsea Girls,5
The Shop Around The Corner,5
Tropical Malady,5
Days Of Heaven,4.5
Duck Amuck,4.5
Fanny And Alexander,4.5
Le Notti Di Cabiria,4.5
Los Olvidados,4.5
Pickpocket,4.5
Pierrot Le Fou,4.5
Spirited Away,4.5
Touki Bouki,4.5
2 Ou 3 Choses Que Je Sais D'elle,4
3 Women,4
35 Rhums,4
All About Eve,4
Blue,4
Brief Encounter,4
Greed,4
In Einem Jahr Mit 13 Monden,4
It Happened One Night,4
Journey To Italy,4
La Double Vie De Véronique,4
La Grande Illusion,4
Meet Me In St. Louis,4
My Neighbour Totoro,4
Napoléon,4
Nitrate Kisses,4
Opening Night,4
Our Hospitality,4
Pasqualino Settebellezze,4
Pyaasa,4
Qianxi Manbo,4
Rosemary's Baby,4
Sátántangó,4
Shoes,4
Some Like It Hot,4
The Apartment,4
The Heartbreak Kid,4
The Hour Of The Furnaces,4
The Matrix,4
The Thin Red Line,4
Titanic,4
Twenty Years Later,4
Un Chien Andalou,4
Vagabond,4
Welfare,4
Within Our Gates,4
Zangiku Monogatari,4
Come And See,3.5
Gentlemen Prefer Blondes,3.5
Heat,3.5
Reassemblage,3.5
Terra Em Transe,3.5
The Emperor's Naked Army Marches On,3.5
There Will Be Blood,3.5
Twin Peaks: The Return,3.5
[Safe],3
A City Of Sadness,3
A Star Is Born,3
Alien,3
Angel,3
Annie Hall,3
Apocalypse Now,3
Army Of Shadows,3
Atlantique,3
Black Narcissus,3
Blade Runner,3
Body And Soul,3
Broadcast News,3
Charulata,3
Close Encounters Of The Third Kind,3
Crash,3
Duck Soup,3
Eyes Wide Shut,3
F For Fake,3
Fantasia,3
Ganja & Hess,3
Grave Of The Fireflies,3
Happy Together,3
Hoop Dreams,3
Hsimeng Jensheng,3
Ikiru,3
Johnny Guitar,3
Kiss Me Deadly,3
Koyaanisqatsi: Life Out Of Balance,3
Kurutta Ippeiji,3
Letyat Zhuravli,3
Malcolm X,3
Marnie,3
Monsoon Wedding,3
No Home Movie,3
Nothing But A Man,3
One Way Or Another,3
Oxhide Ii,3
Parasite,3
Partie De Campagne,3
Phantom Thread,3
Pink Flamingos,3
Ran,3
Saikaku Ichidai Onna,3
Solaris,3
Star Wars,3
Taste Of Cherry,3
The Blood Of Jesus,3
The Clock: 2010,3
The Colour Of Pomegranates,3
The Green Ray,3
The Headless Woman,3
The Intruder,3
The Leopard,3
The Man Who Shot Liberty Valance,3
The Philadelphia Story,3
The Quince Tree Sun,3
The Shining,3
The Thing,3
The Umbrellas Of Cherbourg,3
The Wild Bunch,3
Twin Peaks: Fire Walk With Me,3
Uncle Boonmee Who Can Recall His Past Lives,3
Vampyr,3
Vivre Sa Vie,3
Wagon Master,3
Wendy And Lucy,3
Zhantai,3
A Idade Da Terra,2.5
A Separation,2.5
"Aguirre, Wrath Of God",2.5
Carol,2.5
Die Bitteren Tränen Der Petra Von Kant,2.5
Eniaios,2.5
