selection_manual_fix,weighted_votes
La Région Centrale,3
Ladies' Man,3
Letyat Zhuravli,3
Ma Nuit Chez Maud,3
Malcolm X,3
Marnie,3
Meek's Cutoff,3
Miami Vice,3
Mikey And Nicky,3
Monsoon Wedding,3
Muriel Ou Le Temps D'un Retour,3
My Darling Clementine,3
Night Of The Living Dead,3
No Home Movie,3
Nothing But A Man,3
Oxhide Ii,3
Partie De Campagne,3
Pink Flamingos,3
Princess Mononoke,3
Red Desert,3
Saikaku Ichidai Onna,3
Solaris,3
Some Came Running,3
Stop Making Sense,3
The Blood Of Jesus,3
The Clock: 2010,3
The End Of Evangelion,3
The Green Ray,3
The Leopard,3
The Reckless Moment,3
The Wild Bunch,3
To Be Or Not To Be,3
Tongues Untied,3
Trouble Every Day,3
Vampyr,3
Vivre Sa Vie,3
Wagon Master,3
Wandafuru Raifu,3
Wendy And Lucy,3
Where Is The Friend's House?,3
Wings Of Desire,3
Zhantai,3
A Idade Da Terra,2.5
"Aguirre, Wrath Of God",2.5
Carol,2.5
Eniaios,2.5
Eve's Bayou,2.5
I Am Cuba,2.5
I Am Somebody,2.5
India Song,2.5
Inland Empire,2.5
La Commune,2.5
"Love Is The Message, The Message Is Death",2.5
Magnolia,2.5
Mean Streets,2.5
Petite Maman,2.5
Portrait Of Jennie,2.5
Sorry To Bother You,2.5
Tini Zabutykh Predkiv,2.5
To Sleep With Anger,2.5
Two-Lane Blacktop,2.5
West Of The Tracks,2.5
Window Water Baby Moving,2.5
Written On The Wind,2.5
13 Lakes,2
A Canterbury Tale,2
A Grin Without A Cat,2
A Hard Day's Night,2
A Moment Of Innocence,2
A New Leaf,2
Almost Famous,2
Amarcord,2
Amélie,2
Anatomy Of A Murder,2
Anticipation Of The Night,2
"As I Was Moving Ahead, Occasionally I Saw Brief Glimpses Of Beauty",2
At Land,2
Az En Xx. Szazadom,2
Badlands,2
"Belfast, Maine",2
Beyond The Valley Of The Dolls,2
Black Panther,2
Brazil,2
Bride Of Frankenstein,2
Cameraperson,2
Campanadas A Medianoche,2
Ceddo,2
Children Of Men,2
Chronicle Of A Lying Spirit By Kelly Gabron,2
Cluny Brown,2
Compensation,2
Crime Wave,2
Cristo Si È Fermato A Eboli,2
Crossroads,2
Dazed And Confused,2
Dekalog,2
Design For Living,2
Desperately Seeking Susan,2
Die Hard,2
Duvidha,2
Dyketactics,2
Earth,2
Egyptian Series,2
Everything Everywhere All At Once,2
Faces,2
Fargo,2
Flaming Creatures,2
French Cancan,2
Fuses,2
Glen Or Glenda,2
Grey Gardens,2
Histoire(S) Du Cinéma,2
I Don't Want To Sleep Alone,2
I Walked With A Zombie,2
Il Posto,2
Ilha Das Flores,2
In Vanda's Room,2
India,2
Inglourious Basterds,2
It's Always Fair Weather,2
Ivan Grozni Ii  Boyarski Zagorov,2
Ivan The Terrible,2
Jeux Interdits,2
Jurassic Park,2
Juventude Em Marcha,2
King Kong,2
L.a. Plays Itself,2
L' Âge D'or,2
L' Amour Fou,2
L' Eclisse,2
"L' Une Chante, L'autre Pas",2
La Carrozza D'oro,2
La Maman Et La Putain,2
La Pointe Courte,2
La Saveur De La Pastèque,2
Last Year At Marienbad,2
Le Boucher,2
Le Vent Nous Emportera,2
Les Demoiselles De Rochefort,2
Letter From An Unknown Woman,2
Light Music,2
Limite,2
Local Legends,2
Lola Montès,2
Lucia,2
Mad Max: Fury Road,2
Make Way For Tomorrow,2
Margaret,2
Masculin Féminin  15 Faits Précis,2
Memoria,2
Midnight,2
Modern Romance,2
Monsieur Verdoux,2
Morocco,2
"Mujeres Al Borde De Un Ataque De ""Nervios""",2
Naked,2
New York New York,2
Night And Fog,2
Nostalgia For The Light,2
Notebook,2
Nouvelle Vague,2
Odd Man Out,2
Om Shanti Om,2
On Dangerous Ground,2
Onna Ga Kaidan O Agaru Toki,2
Orlando,2
Outer Space,2
Pandora's Box,2
"Paris, Texas",2
Peggy And Fred In Hell,2
Performance,2
Phantom Of The Paradise,2
Possession,2
Professione: Reporter,2
Pulp Fiction,2
Qingmei Zhuma,2
Quatre Nuits D'un Rêveur,2
Raiders Of The Lost Ark,2
Rose Hobart,2
Salesman,2
San Xia Hao Ren,2
Scener Ur Ett Äktenskap,2
Scorpio Rising,2
Scream,2
Seppuku,2
Shanghai Express,2
Shao Lin Sa Liu Fang,2
Shatranj-E Baad,2
Shi Jie,2
Showgirls,2
Spacy,2
Speed Racer,2
Stagecoach,2
Star Wars  Episode V  The Empire Strikes Back,2
Sullivan's Travels,2
Superstar: The Karen Carpenter Story,2
Suspense,2
Syndromes And A Century,2
The Devils,2
The Flicker,2
"The Good, The Bad And The Ugly",2
The Last Laugh,2
The Last Picture Show,2
The Last Temptation Of Christ,2
The Lord Of The Rings  The Fellowship Of The Ring,2
The Lord Of The Rings  The Return Of The King,2
The Lord Of The Rings  The Two Towers,2
The Naked Gun  From The Files Of Police Squad!,2
The Other Side Of The Wind,2
The Passionate Friends,2
The Perfumed Nightmare,2
The Quiet Man,2
The River: 1951,2
The Spook Who Sat By The Door,2
The Thin Blue Line,2
The Woolworths Choir Of 1979,2
They Live By Night,2
Think Of Me First As A Person,2
Tih Minh,2
Time,2
Tirez Sur Le Pianiste,2
Titicut Follies,2
Toni Erdmann,2
Topio Stin Omichli,2
Trois Couleurs Rouge,2
Videodrome,2
Weekend,2
Werckmeister Harmonies,2
Yanzhi Kou,2
Yeelen,2
Yojimbo,2
Youth Without Youth,2
Zendegi Va Digar Hich...,2
回路,2
Hyènes,1.8333333333333333
Zama,1.8333333333333333
25th Hour,1.5
Agarrando Pueblo (The Vampires Of Poverty),1.5
Amadeus,1.5
Before Sunrise,1.5
Before Sunset,1.5
Bless Their Little Hearts,1.5
Cow,1.5
Crip Camp,1.5
Deep End,1.5
Die Klavierspielerin,1.5
Dong,1.5
Eraserhead,1.5
Freaks,1.5
Free Radicals,1.5
Ganga Bruta,1.5
Handsworth Songs,1.5
Hightide,1.5
Il Était Une Fois Un Pays,1.5
Johanna D'arc Of Mongolia,1.5
Le Crime De M. Lange,1.5
Lola Rennt,1.5
Marie Antoinette,1.5
Raise The Red Lantern,1.5
Rocco E I Suoi Fratelli,1.5
Shane,1.5
Soleil Ô,1.5
Subarnarekha,1.5
The Apple,1.5
The Exterminating Angel,1.5
The Gold Rush,1.5
The Power Of The Dog,1.5
Zir-E Darakhtan-E Zeyton,1.5
...All The Marbles,1
(Loubia Hamra) Bloody Beans,1
12 Years A Slave,1
33 Yo-Yo Tricks,1
37°2 Le Matin,1
"4 Luni, 3 Saptamini Si 2 Zile",1
5-Year Diary,1
7 Women,1
8903 Empire,1
A Bread Factory Part One: For The Sake Of Gold,1
"A Bread Factory, Parts 1 And 2",1
A Clockwork Orange,1
A Day On The Grand Canal With The Emperor Of China Or Surface Is Illusion But So Is Depth,1
A Diary For Timothy,1
A Face In The Crowd,1
A Family Finds Entertainment,1
A Ghost Story,1
A Girl At My Door,1
A Girl Walks Home Alone At Night,1
A History Of Violence,1
A Hora Da Estrela,1
A King In New York,1
A Movie,1
A Night Of Knowing Nothing,1
A Pigeon Sat On A Branch Reflecting On Existence,1
A Portrait Of Ga,1
A Serious Man,1
A Sixth Part Of The World,1
A Tale Of The Wind,1
À Tout Prendre,1
A Trip Down Market Street,1
A Warm December,1
Abolição,1
Ace In The Hole,1
Afrique 50,1
After Hours,1
Akahige,1
Akira,1
Al Makhdou-Oun,1
Alaya,1
All Over Me,1
Always For Pleasure,1
America,1
American Dream,1
American Movie  The Making Of Northwestern,1
Amor De Perdição,1
Amores Perros,1
Amour,1
An Affair To Remember,1
An American In Paris,1
An Angel At My Table,1
Angel Heart,1
Anne Devlin,1
Another Woman,1
Any Old Port!,1
Arrebato,1
Arrival,1
Arsenic And Old Lace,1
Artists And Models,1
Aruitemo Aruitemo,1
Asparagus,1
Asylum: 1972,1
Atanarjuat: The Fast Runner,1
Atlantiques,1
Avanti!,1
Avengers  Endgame,1
Babobilicons,1
Bad Girls Go To Hell,1
Ballet Mécanique,1
Bambi,1
Bamboozled,1
Bang Bang,1
Bao Gio Cho Toi Thang Muoi,1
Beats Per Minute,1
Being John Malkovich,1
Belle De Jour,1
Belly,1
Ben-Hur,1
Best In Show,1
Between The Waves,1
Beyond The Infinite Two Minutes,1
Bicycleran,1
Bigger Than Life,1
Bildnis Einer Trinkerin,1
Black Ice,1
Blaise Pascal,1
Bleu Shut,1
Blonde Death,1
Blonde Venus,1
Blood Simple,1
Bloodsisters,1
Blowjob,1
Blowup,1
Boomerang,1
Borom Sarret,1
Boyhood,1
Boyz N The Hood,1
Braindead,1
Bram Stoker's Dracula,1
Breakaway,1
Breaking The Waves,1
Bridges-Go-Round,1
Brigadoon,1
Bukchon Banghyang (The Day He Arrived),1
Bulbbul,1
Bunny Lake Is Missing,1
Cabaret,1
Calendar,1
California Split,1
Call Me By Your Name,1
Carlito's Way,1
Casino,1
Castro Street,1
Cerro Pelado,1
Certain Women,1
César,1
Chameleon Street,1
Charade,1
Chibusa Yo Eien Nare,1
Children Who Draw,1
Chin-Jeol-Han Geum-Ja-Ssi,1
Chinese Roulette,1
Chocolat,1
Chronik Der Anna Magdalena Bach,1
Cinnamon,1
Cisco Pike,1
Closes,1
Clouds Of Sils Maria,1
Code Inconnu  Récit Incomplet De Divers Voyages,1
Coded Bias,1
Coffee,1
Coherence,1
Come Back Africa,1
Coming To America,1
Comrades: Almost A Love Story,1
Cooley High,1
Copie Conforme,1
Cruising,1
Cry When It Happens,1
Crystallization,1
Dai Chek Lo,1
Daisy Doodad's Dial,1
Daisy Kenyon,1
Dalla Nube Alla Resistenza,1
Das Testament Des Dr. Mabuse,1
Das Weisse Band Eine Deutsche Kindergeschichte,1
Daughter Rite,1
Dawn Of The Dead,1
Dawson City: Frozen Time,1
Dead Ringers,1
Death Proof,1
Decasia,1
Delicatessen,1
Denen Ni Shisu (Pastoral Hide-And-Seek),1
Der Blaue Engel,1
Dersu Uzala,1
Desert Hearts,1
Detour,1
Deus E O Diabo Na Terra Do Sol,1
Devdas,1
Die Abenteuer Des Prinzen Achmed,1
Die Austernprinzessin,1
Die Ehe Der Maria Braun,1
Die Linkshändige Frau,1
Die Sehnsucht Der Veronika Voss,1
Dil Se..,1
Diqiu Zuihou De Yewan,1
Dishonored,1
Disorder,1
"Distant Voices, Still Lives",1
Diyi Leixing Weixian,1
Do Bigha Zamin,1
Do Ma Dan,1
Dodsworth,1
Domino: 2019,1
Donovan's Reef,1
Dont Look Back,1
Double Blind/No Sex Last Night,1
Down And Out In America,1
Down Hear,1
Dr. Jekyll And Mr. Hyde,1
"Dr. Mabuse, Der Spieler 1. Teil: Der Große Spieler  Spieler - Ein Bild Unserer Zeit",1
Dracula,1
Dragon Inn,1
Dreaming Rivers,1
Drunktown's Finest,1
Duli Shidai,1
Dune,1
Dune  Part One,1
Dupe Od Mramora,1
E.t.  The Extra-Terrestrial,1
Easy Rider,1
Ed Wood,1
Eijanaka,1
El,1
El Dorado,1
Elephant: 1988,1
Elle,1
Éloge De L'amour,1
Emitaï,1
Empty Metal,1
Ensayo De Un Crimen,1
Enthusiasm,1
Ephemerality,1
Erie,1
Erotikon: 1920,1
Escape From New York,1
Estrategia Del Caracol (Snail's Strategy),1
Eternal Sunshine Of The Spotless Mind,1
Europa '51,1
Everyday Life In A Syrian Village,1
Exotica,1
Faces Of Women (Visages De Femmes),1
Far From Heaven,1
Far From Vietnam,1
Fat City,1
Faust  Eine Deutsche Volkssage,1
Faustrecht Der Freheit,1
Faya Dayi,1
Fedora,1
Fetiche-Mascotte,1
Field Niggas,1
Fieldwork Footage,1
"Fin Août, Début Septembre",1
Finis Terrae,1
Fitzcarraldo,1
Five Easy Pieces,1
Force Majeure,1
Fort Apache,1
Fort Tilden,1
Frank Film,1
Frankenstein,1
Freedom Song,1
Friendly Persuasion,1
From The Notebook Of...,1
Fruitvale Station,1
Gas Food Lodging,1
Geetanjali,1
Gegen Die Wand,1
Genroku Chushingura (The 47 Ronin),1
Gently Down The Stream,1
Ghode Ko Jalebi Khilane Le Ja Riya Hoon,1
Giant,1
Girl Friends,1
Girlhood,1
Giulietta Degli Spiriti,1
Gloria: 2013,1
Gold Diggers Of 1933,1
Golden Eighties,1
Gone Girl,1
Gone With The Wind,1
Good News,1
Good Sam,1
Good Will Hunting,1
Goodbye South Goodbye,1
Goodbye To Language,1
Great Freedom,1
Gremlins 2  The New Batch,1
Grizzly Man,1
Guelwaar,1
Guided By Voices,1
Gummo,1
Hable Con Ella,1
Hadaka No Shima,1
Hail The Conquering Hero,1
Haircut,1
Hairspray,1
Hart Of London,1
He Who Gets Slapped,1
Head,1
Heart Of A Dog,1
Heaven's Gate,1
Heimat: A Chronicle Of Germany,1
Heir To An Execution,1
Heliu,1
Henry Fool,1
Hester Street,1
Het Dak Van De Walvis,1
High Noon,1
High School,1
Hijosen No Onna,1
Histoire De Marie Et Julien,1
Histoires Extraordinaires,1
Historias Extraordinarias,1
Hitori Musuko,1
Holy Motors,1
Honeyland,1
"Horí, Má Panenko",1
Hugo,1
Hungerjahre,1
Husbands  A Comedy About Life Death And Freedom,1
I Am A Fugitive From A Chain Gang,1
I Am The One Who Brings Flowers To Her Grave,1
I Compagni,1
I Heard It Through The Grapevine,1
I Vitelloni,1
If Beale Street Could Talk,1
Iguana,1
Il Grande Silenzio,1
Imagens Do Silêncio,1
Images Of The World And The Inscription Of War,1
In Film Nist,1
In Jackson Heights,1
In The Cut,1
In The Street,1
In The Year Of The Pig,1
Inazuma,1
Inherent Vice,1
Inherit The Wind,1
Intervention Divine,1
Irma Vep,1
Ishtar,1
Islands Of Fire,1
It's A Mad Mad Mad Mad World,1
Ixcanul,1
Jaguar,1
Jalsaghar,1
Jeder Für Sich Und Gott Gegen Alle,1
Jesse James,1
Jesus Christ Superstar,1
Jesus Shows You The Way To The Highway,1
Jfk,1
Jiao Zi,1
Jim Shvante - Svanetis Marili,1
Journey To The West,1
Jungle Fever,1
Kaagaz Ke Phool,1
Kaal Abhirati/Time Addiction,1
Kaidan,1
Kamigami No Fukaki Yokubô,1
Kaze No Naka No Mendori,1
Khlebny Dyen,1
Kids,1
Kill Bill I + Ii,1
King Lear: 1987,1
Kiss Of The Spider Woman,1
Kokaku Kidotai,1
Kongbufenzi,1
Krylya,1
Kummatty,1
Kung Shan Ling Yu,1
L' Empire Des Sens,1
L' Heure D'été,1
L'arrivée D'un Train À La Ciotat,1
La Cérémonie,1
La Chambre,1
La Chiesa,1
La Ciociara,1
La Flor,1
La Glace À Trois Faces,1
La Grande Bellezza,1
La Nacion Clandestina,1
La Nuit Américaine,1
La París,1
La Pile Électrique De Léontine (Léontine's Electric Battery),1
La Prise De Pouvoir Par Louis Xiv,1
La Souriante Madame Beudet,1
La Strada,1
La Teta Asustada,1
La Venganza De Pancho Villa,1
La Vie D'adèle  Chapitres 1 Et 2,1
La Vie De Bohème,1
La Vie Sur Terre,1
Là-Bas,1
Lacombe Lucien,1
Lady Bird,1
Lady Of The Night,1
Lady Windermere's Fan,1
Lago Gatún,1
Lancelot Du Lac,1
Land Without Bread,1
Lashou Shentan,1
Laughing Gas,1
Le Bateau De Léontine,1
Le Charme Discret De La Bourgeoisie,1
Le Diable Probablement,1
Le Feu Follet,1
Le Film Est Deja Commence?,1
Le Joli Mai,1
Le Locataire,1
Le Samouraï,1
Le Sang D'un Poète,1
Le Sang Des Bêtes,1
Le Train: 1973,1
Le Vampire,1
Leave Her To Heaven,1
Leila And The Wolves,1
"Léon Morin, Prêtre",1
Léontine S'envole (Léontine Flies Away),1
Les Amants Du Pont-Neuf,1
Les Amours D'anaïs,1
Les Bonnes Femmes,1
Les Destins De Manoel,1
Les Dimanches De Ville D'avray,1
Les Nuits De La Pleine Lune,1
Les Silences Du Palais,1
Les Trois Couronnes Du Matelot,1
Les Yeux Ne Veulent Pas En Tout Temps Se Fermer Ou Peut-Être Qu' Un Jour Rome Se Permettra De Choisir À Son Tour,1
Let Me Die A Woman,1
Lianlian Feng Chen,1
"Liberté, La Nuit",1
Line Describing A Cone,1
Lingua Franca,1
Little Stabs At Happiness,1
Little Women,1
Lives Of Performers  (A Melodrama),1
Lola,1
Lone Star,1
Looking For Mushrooms,1
Lord Of The Flies,1
Los Abrazos Rotos,1
Los Rubios,1
Lost Book Found,1
Lost Lost Lost,1
Love & Basketball,1
Mad Max 2,1
Madame Satã,1
Mädchen In Uniform,1
Madeline's Madeline,1
Magic Mike Xxl,1
Mah Nakorn,1
Mahanagar,1
Majiang,1
Majo No Takkyubin,1
Mandabi,1
Manhã Cinzenta,1
Manhattan,1
Manhunter,1
Mapantsula,1
Maria Candelaria,1
Marketa Lazarová,1
Martina's Playhouse,1
Matewan,1
Me And You And Everyone We Know,1
Meantime,1
Meditation On Violence,1
Melancholia: 2011,1
