selection_manual_fix,weighted_votes
Dr. Strangelove Or: How I Learned To Stop Worrying And Love The Bomb,7
Eraserhead,7
Fitzcarraldo,7
Handsworth Songs,7
Heaven's Gate,7
L' Albero Degli Zoccoli,7
Mädchen In Uniform,7
Napoléon,7
Once Upon A Time… In Hollywood,7
People On Sunday,7
Professione: Reporter,7
The Birds,7
The Thin Red Line,7
Uncle Boonmee Who Can Recall His Past Lives,7
"Diaries, Notes & Sketches: Walden",6.5
It's Such A Beautiful Day,6.5
Los Olvidados,6.5
Phantom Thread,6.5
Pyaasa,6.5
Ratcatcher,6.5
The Power Of The Dog,6.5
The Wicker Man,6.5
Two-Lane Blacktop,6.5
Where Is The Friend's House?,6.5
A Portrait Of Ga,6
An Autumn Afternoon,6
Arrebato,6
Astenichesky Sindrom,6
Badlands,6
Carrie: 1976,6
Children Of Men,6
Crash,6
Die Bitteren Tränen Der Petra Von Kant,6
Double Indemnity,6
E.t.  The Extra-Terrestrial,6
Gentlemen Prefer Blondes,6
Girl Friends,6
Harlan County Usa,6
Holy Motors,6
In A Lonely Place,6
Inland Empire,6
Intolerance,6
King Kong,6
Krylya,6
La Haine,6
Lovers Rock,6
Meek's Cutoff,6
Meet Me In St. Louis,6
Mon Oncle,6
Mouchette,6
Nomadland,6
Once Upon A Time In Anatolia,6
"Salò, Or The 120 Days Of Sodom",6
Some Came Running,6
Splendor In The Grass,6
Star Wars,6
Suspense,6
The Holy Mountain,6
The King Of Comedy,6
The Lady Eve,6
The Lord Of The Rings  The Fellowship Of The Ring,6
The Quiet Man,6
The Quince Tree Sun,6
The Travelling Players,6
The Tree Of Life,6
Tongues Untied,6
Trás-Os-Montes,6
Tristana,6
Variety,6
Viridiana,6
"Stromboli, Terra Di Dio",5.666666666666667
A Colour Box,5.5
Charulata,5.5
Eyes Wide Shut,5.5
Paris Is Burning,5.5
Soleil Ô,5.5
35 Rhums,5
7 Women,5
A Separation,5
Akira,5
Atlantique,5
Berlin Alexanderplatz,5
Born In Flames,5
Carol,5
Chronik Der Anna Magdalena Bach,5
D'est,5
Dawn Of The Dead,5
Der Blaue Engel,5
Deus E O Diabo Na Terra Do Sol,5
Diary Of A Country Priest,5
Dogville,5
Exotica,5
Faces,5
Festen,5
Fuses,5
"Germania, Anno Zero",5
Girlhood,5
Gone With The Wind,5
Groundhog Day,5
I Walked With A Zombie,5
Ida,5
It Happened One Night,5
Ivan The Terrible,5
Kaagaz Ke Phool,5
Körkarlen,5
La Belle Et La Bête,5
La Flor,5
La Petite Vendeuse De 'Soleil',5
La Vie D'adèle  Chapitres 1 Et 2,5
Le Camion,5
Lola Montès,5
Lost In Translation,5
Ma Nuit Chez Maud,5
Manhattan,5
Mediterranee,5
Miami Vice,5
Moartea Domnului Lazarescu,5
Night And Fog,5
Oldboy,5
Örökbefogadas,5
Profondo Rosso,5
Shoplifters,5
Spring In A Small Town,5
Sullivan's Travels,5
Symbiopsychotaxiplasm: Take One,5
Terminator 2  Judgment Day,5
The Awful Truth,5
The Beaches Of Agnès,5
The Dark Knight,5
The Ghost And Mrs. Muir,5
The Intruder,5
The Kid,5
The Magnificent Ambersons,5
The Servant,5
The Virgin Suicides,5
This Is Spinal Tap   A Rockumentary By Martin Di Bergi,5
Titane,5
Toy Story,5
Uccellacci E Uccellini,5
Umberto D.,5
Us,5
Wagon Master,5
Wendy And Lucy,5
West Side Story,5
Zéro De Conduite,5
Apur Sansar,4.5
Before Sunset,4.5
Cemetery Of Splendour,4.5
Death In Venice,4.5
If....,4.5
Kes,4.5
La Rue Cases-Nègres,4.5
Listen To Britain,4.5
Marie Antoinette,4.5
Memories Of Underdevelopment,4.5
The Gold Rush,4.5
The Wedding March,4.5
W.r. - Mysteries Of The Organism,4.5
F For Fake,4.166666666666667
[Safe],4
Aiqing Wansui,4
Aliens,4
Arrival,4
Az En Xx. Szazadom,4
Brazil,4
Brief Encounters,4
Cabaret,4
Casino,4
"Dance, Girl, Dance",4
Das Testament Des Dr. Mabuse,4
Dawson City: Frozen Time,4
Dayereh,4
Diqiu Zuihou De Yewan,4
Ebolusyon Ng Isang Pamilyang Pilipino,4
El,4
El Mumia,4
Fantasia,4
Fargo,4
"Faster, Pussycat! Kill! Kill!",4
Faustrecht Der Freheit,4
First Cow,4
Fish Tank,4
Francesco Giullare Di Dio,4
Goodbye To Language,4
Hable Con Ella,4
Hannah And Her Sisters,4
Happy Hour,4
Husbands  A Comedy About Life Death And Freedom,4
I Am Not Your Negro,4
Im Lauf Der Zeit,4
In Film Nist,4
Ingeborg Holm,4
"Khroustaliov, Ma Voiture!",4
Klassenverhältnisse,4
L' Empire Des Sens,4
"L' Une Chante, L'autre Pas",4
Le Locataire,4
Leviathan: 2012,4
Limite,4
Line Describing A Cone,4
Lone Star,4
Madeo,4
Mandabi,4
Midare-Gumo,4
Mikey And Nicky,4
"Moi, Un Noir",4
Mr. Klein,4
Muriel Ou Le Temps D'un Retour,4
No Country For Old Men,4
Offret  Sacrificatio,4
Ohayo,4
Orphée,4
Paddington 2,4
Pakeezah,4
Palombella Rossa,4
Peeping Tom,4
Phantom Of The Paradise,4
Picnic At Hanging Rock,4
Point Blank,4
Point Break,4
Portrait Of Jason,4
Princess Mononoke,4
Qianxi Manbo,4
Riddles Of The Sphinx,4
Short Cuts,4
Skammen,4
Spider-Man  Into The Spider-Verse,4
Stand By Me,4
Syndromes And A Century,4
Teorema,4
The Arbor,4
The Ballad Of Narayama,4
The Cook The Thief His Wife & Her Lover,4
The Crucified Lovers,4
