selection_manual_fix,weighted_votes
Only Angels Have Wings,3.5
Paris Is Burning,3.5
Pyaasa,3.5
"Salò, Or The 120 Days Of Sodom",3.5
Sans Soleil,3.5
Sátántangó,3.5
Sullivan's Travels,3.5
The Leopard,3.5
The Producers,3.5
Un Chien Andalou,3.5
Xala,3.5
Aliens,3
American Graffiti,3
American Honey,3
An Angel At My Table,3
Arrebato,3
Brazil,3
Call Me By Your Name,3
Casino,3
Chibusa Yo Eien Nare,3
Daguerréotypes,3
Das Cabinet Des Dr. Caligari,3
Dawn Of The Dead,3
Dawson City: Frozen Time,3
Diary Of A Country Priest,3
Diqiu Zuihou De Yewan,3
Duck Soup,3
Grey Gardens,3
Groundhog Day,3
Hail The Conquering Hero,3
Heaven's Gate,3
Hellraiser,3
Holy Motors,3
Hoop Dreams,3
I Walked With A Zombie,3
Ida,3
In Film Nist,3
Intervention Divine,3
Intolerance,3
Kaagaz Ke Phool,3
King Kong,3
L' Âge D'or,3
L' Eclisse,3
"L' Une Chante, L'autre Pas",3
L'argent,3
La Belle Et La Bête,3
Le Charme Discret De La Bourgeoisie,3
Le Locataire,3
Le Salaire De La Peur,3
Malcolm X,3
Mandabi,3
Miami Vice,3
Midnight Cowboy,3
Mildred Pierce,3
Notorious,3
Once Upon A Time In Anatolia,3
Out 1,3
Ovoce Stromu Rajskych Jime,3
Partie De Campagne,3
Picnic At Hanging Rock,3
Professione: Reporter,3
Raise The Red Lantern,3
Riddles Of The Sphinx,3
Rio Bravo,3
Rocks,3
Sennen Joyu,3
Skazka Skazok,3
Spring In A Small Town,3
Stand By Me,3
Stories We Tell,3
Terminator 2  Judgment Day,3
The Arbor,3
The Awful Truth,3
The Ballad Of Narayama,3
The Band Wagon,3
The Beaches Of Agnès,3
The Best Years Of Our Lives,3
The Exterminating Angel,3
The French Connection,3
The Graduate,3
The Lady Vanishes,3
The Magnificent Ambersons,3
The New World,3
The Perfumed Nightmare,3
The Shawshank Redemption,3
The Social Network,3
The Terminator,3
The Treasure Of The Sierra Madre,3
The Wrong Trousers,3
Twin Peaks: The Return,3
Un Prophète,3
Wake In Fright,3
Wall-E,3
Went The Day Well?,3
Werckmeister Harmonies,3
Whiplash,3
Working Girls: 1986,3
You Were Never Really Here,3
