selection_manual_fix,weighted_votes
L'avventura,1
La Belle Noiseuse,1
La Carrozza D'oro,1
La Chouette Aveugle,1
La Collectionneuse,1
La Commune,1
La Escena Circular,1
La Flor,1
La Formula Secreta,1
La Maman Et La Putain,1
La Nuit Américaine,1
La Vallée Close,1
Ladies' Man,1
Last Year At Marienbad,1
Laura,1
Lavoura Arcaica,1
Lawrence Of Arabia,1
Le Bonheur,1
Le Livre D'image,1
Le Locataire,1
Le Mépris,1
Le Soulier De Satin,1
Le Vent D'est,1
Le Voyage Dans La Lune,1
Lemon,1
Les Bas-Fonds,1
Les Demoiselles De Rochefort,1
Les Destins De Manoel,1
Les Enfants Du Paradis,1
Les Favoris De La Lune,1
Letter Of Introduction,1
Linda Linda Linda,1
Lolita,1
"Lost, Lost, Lost",1
Louis Lumière,1
Louisiana Story,1
"Love Is The Message, The Message Is Death",1
Love Streams,1
Madame De...,1
Man's Castle,1
Manuela,1
Materialfilme,1
Medea,1
Meio-Dia,1
Melancholia: 2011,1
Mer Dare,1
Merrily We Go To Hell,1
Midareru,1
Mille Soleils,1
Miracolo A Milano,1
Modern Times,1
Monkey Business: 1952,1
Monty Python And The Holy Grail,1
Mother And Son,1
Museum Hours,1
My Beautiful Laundrette,1
My Brilliant Career,1
Mysterious Object At Noon,1
Nazarín,1
News From Home,1
Nicht Löschbares Feuer,1
Notorious,1
Notre Musique,1
Now,1
Nueve Reinas,1
Nũhũ Yãg Mu Yõg Hãm Essa Terra É Nossa! (Nuhuu Yagmuu Yog Ham Essa Terra É Nossa!),1
Oblomok Imperii,1
Office Space,1
Ofrenda,1
Ohayo,1
Okâsan,1
On The Waterfront,1
Once Upon A Time In America,1
Once Upon A Time… In Hollywood,1
One Hour With You,1
Ordinary People,1
Other Men's Women,1
Out 1,1
Out Of The Past,1
Oyu-Sama,1
Paisan,1
Parasite,1
Paris Is Burning,1
"Paris, Texas",1
Petit À Petit,1
Phantom Thread,1
Pickpocket,1
Plan 9 From Outer Space,1
Point Break,1
Portrait Of Jason,1
Poslesloviye (Afterword),1
Prénom Carmen,1
Pulp Fiction,1
Raging Bull,1
Reds,1
Reminiscences Of A Journey To Lithuania,1
Remorques,1
Revolver,1
Rio Zona Norte,1
Rocío Y José,1
Roma: 2018,1
Romeo And Juliet,1
Rosemary's Baby,1
Saikaku Ichidai Onna,1
"Salò, Or The 120 Days Of Sodom",1
San Xia Hao Ren,1
Sarineui Chueok,1
Sem Titulo #1: Dance Of Leitfossil,1
Shadows,1
Shanghai Express,1
Sherlock Jr.,1
Show People,1
Sodom,1
"Soñar, Soñar",1
Sorcerer,1
Star Spangled To Death,1
Star Wars,1
Stars In My Crown,1
Stellet Licht,1
Still,1
Still/Here,1
Stop Making Sense,1
Suspiria,1
Tabu,1
Tabu  A Story Of The South Seas,1
Taller / Workshop,1
The Age Of Innocence,1
The Autobiography Of Nicolae Ceausescu,1
The Band Wagon,1
The City Of God,1
The Clock: 1945,1
The Disenchantment,1
The English Patient,1
The Girl Chewing Gum,1
The Gleaners And I,1
The Gold Rush,1
The Great Dictator,1
The Human Pyramid,1
The Iron Giant,1
The Killing Of A Chinese Bookie,1
The Last Laugh,1
The Leopard,1
The Long Day Closes,1
The Lyre Of Delight,1
The Man I Killed,1
The Man Who Knew Too Much,1
The Moontrap,1
The Philadelphia Story,1
The Piano,1
The Private Life Of Sherlock Holmes,1
The Purple Rose Of Cairo,1
The Quiet Man,1
The Red Shoes,1
The Royal Tenenbaums,1
The School Of Rock,1
The Seventh Seal,1
The Shop Around The Corner,1
The Taking Of Pelham One Two Three,1
The Texas Chain Saw Massacre,1
The Text Of Light,1
The Tree Of Life,1
The Unholy Three,1
The Virgin Spring,1
There Will Be Blood,1
Thérèse,1
Tiempo De Revancha,1
Tiovivo C. 1950,1
Tiro De Gracia,1
Tokyo No Onna,1
Toy Story,1
Traumhafte Weg (The Dreamed Path),1
Two Lovers,1
Uccellacci E Uccellini,1
Ukamau,1
