selection_manual_fix,weighted_votes
Drug War,1
Duck Soup,1
Dune  Part One,1
Duvidha,1
E.t.  The Extra-Terrestrial,1
Earth,1
Easy Living,1
Eika Katappa,1
El,1
El Espinazo Del Diablo,1
El Mumia,1
Election,1
Elephant Keeper,1
Elle,1
Eraserhead,1
Eternal Sunshine Of The Spotless Mind,1
Faces Places,1
Fantasia,1
Fantastic Mr. Fox,1
Fear Eats The Soul,1
Filibusterismo,1
First Cow,1
For A Few Dollars More,1
French Cancan,1
Friday Night Bites,1
Funny Games,1
Gabbeh,1
"Germania, Anno Zero",1
Gion No Shimai,1
Gloria: 1980,1
Go Fish,1
Great Day,1
Groundhog Day,1
Guizi Lai Le,1
Hable Con Ella,1
Hana Chirinu,1
Hana-Bi,1
Hanyo,1
Happy Hour,1
Happy Together,1
Heaven's Gate,1
Hitori Musuko,1
Honogurai Mizuno Sokokara,1
Hyènes,1
I Am Cuba,1
I Was A Teenage Serial Killer,1
Ici Et Ailleurs,1
If Beale Street Could Talk,1
If....,1
Il Posto,1
In Einem Jahr Mit 13 Monden,1
In The Cut,1
In Vanda's Room,1
Innocence,1
Inside The Red Brick Wall,1
Intolerance,1
Jalal Jido Mot Hamyeonseo,1
Jalsaghar,1
"Je T’aime, Je T’aime",1
Jules Et Jim,1
"Khroustaliov, Ma Voiture!",1
Kiga Kaikyo,1
Kill Bill  Vol. 1,1
Killer Of Sheep,1
King Lear: 1987,1
Kisap Mata: 1982,1
Kokaku Kidotai,1
Koroshi No Rakuin,1
Krótki Film O Milosci,1
Krylya,1
Kuroi Ame,1
L' Albero Degli Zoccoli,1
L' Étrange Couleur Des Larmes De Ton Corps,1
L'avventura,1
La Belle Noiseuse,1
La Carrozza D'oro,1
La Dolce Vita,1
La Strada,1
La Terra Trema,1
Lan Xin Da Ju Yuan,1
Lazzaro Felice,1
Le Boucher,1
Le Crime De M. Lange,1
Le Diable Probablement,1
Le Fils,1
Le Notti Di Cabiria,1
Le Salaire De La Peur,1
Le Vent D'est,1
Léon,1
Les Âmes Mortes,1
Les Demoiselles De Rochefort,1
Les Enfants Du Paradis,1
