selection_manual_fix,weighted_votes
Phantom Of The Paradise,4
Princess Mononoke,4
Professione: Reporter,4
Star Wars,4
Suspense,4
The Crucified Lovers,4
The Godfather Part Ii,4
"The Good, The Bad And The Ugly",4
The Kid,4
The Tree Of Life,4
The Wind,4
The Wings Of Eagles,4
Toni Erdmann,4
Twin Peaks: Fire Walk With Me,4
Two-Lane Blacktop,4
Uccellacci E Uccellini,4
Ultimo Tango A Parigi,4
Videodrome,4
Vitalina Varela,4
Where Is The Friend's House?,4
Young Mr. Lincoln,4
Zastava Ilyicha,4
Death In Venice,3.5
Die Bitteren Tränen Der Petra Von Kant,3.5
Dog Star Man,3.5
Goodfellas,3.5
Happy Hour,3.5
Jaws,3.5
Oyu-Sama,3.5
Profondo Rosso,3.5
Rocco E I Suoi Fratelli,3.5
Soleil Ô,3.5
The Gold Rush,3.5
The Holy Mountain,3.5
The Matrix,3.5
The Wizard Of Oz,3.5
Viridiana,3.5
W.r. - Mysteries Of The Organism,3.5
Wavelength,3.5
Hyènes,3.3333333333333335
A Corner In Wheat,3
A Idade Da Terra,3
Aiqing Wansui,3
Alien,3
Amsterdam Global Village,3
Army Of Shadows,3
Arrebato,3
Arrival,3
Artificial Intelligence  A.i.,3
"As I Was Moving Ahead, Occasionally I Saw Brief Glimpses Of Beauty",3
Bakushû,3
Born In Flames,3
Brief Encounter,3
Carol,3
Charulata,3
Chronik Der Anna Magdalena Bach,3
"Dance, Girl, Dance",3
Dayereh,3
Days Of Heaven,3
Design For Living,3
Deux Anglaises Et Le Continent,3
Dillinger È Morto,3
Don't Look Now,3
Dr. Strangelove Or: How I Learned To Stop Worrying And Love The Bomb,3
Dvadtsat Dnei Bez Voini,3
El,3
El Verdugo,3
Fargo,3
First Cow,3
Fuses,3
Gone With The Wind,3
Grave Of The Fireflies,3
Happy Together,3
Heremias,3
"Hitler, A Film From Germany",3
Holy Motors,3
How Green Was My Valley,3
Husbands  A Comedy About Life Death And Freedom,3
Il Grido,3
Il Sorpasso,3
In Einem Jahr Mit 13 Monden,3
Ingeborg Holm,3
Intolerance,3
Jalsaghar,3
Kahdeksan Surmanluotia,3
"Khroustaliov, Ma Voiture!",3
King Kong,3
Klassenverhältnisse,3
L' Enfance Nue,3
La Chute De La Maison Usher,3
La Pointe Courte,3
Le Cercle Rouge,3
Le Diable Probablement,3
Les Nuits De La Pleine Lune,3
Leviathan: 2012,3
Lola Montès,3
Lost In Translation,3
Lucky Star,3
Marketa Lazarová,3
Maynila Sa Mga Kuko Ng Liwanag,3
Meghe Dhaka Tara,3
Mes Petites Amoureuses,3
Nanook Of The North,3
Nattvardsgästerna,3
New York New York,3
Night And Fog,3
No Home Movie,3
O Fantasma,3
Oldboy,3
Once Upon A Time In Anatolia,3
One Way Or Another,3
Out Of The Past,3
Pandora's Box,3
Plácido,3
Pyaasa,3
Qianxi Manbo,3
Raging Bull,3
Raiders Of The Lost Ark,3
Rose Hobart,3
Saikaku Ichidai Onna,3
Sambizanga,3
The Act Of Killing,3
The Big Lebowski,3
The Big Sleep,3
The Dead,3
The Fountainhead,3
The Great Dictator,3
The Green Ray,3
The Hurt Locker,3
The Intruder,3
The Party,3
The Pianist,3
The Texas Chain Saw Massacre,3
The Virgin Suicides,3
Titane,3
To Have And Have Not,3
"Too Early, Too Late",3
Trois Couleurs Rouge,3
Trouble Every Day,3
Tystnaden,3
Umberto D.,3
Una Vita Difficile,3
Vale Abraão,3
Videograms Of A Revolution,3
Wagon Master,3
Week End,3
Wendy And Lucy,3
Wild At Heart,3
Zéro De Conduite,3
Amadeus,2.5
Apur Sansar,2.5
At Land,2.5
Cul-De-Sac,2.5
D'est,2.5
Hable Con Ella,2.5
I Am Cuba,2.5
Il Était Une Fois Un Pays,2.5
It Happened One Night,2.5
Kanzashi,2.5
La Terra Trema,2.5
Lola,2.5
Los Olvidados,2.5
Loves Of A Blonde,2.5
Ma Nuit Chez Maud,2.5
Meet Me In St. Louis,2.5
Mikey And Nicky,2.5
Moonfleet,2.5
Nostalghia,2.5
Oblomok Imperii,2.5
Peeping Tom,2.5
Petite Maman,2.5
Portrait Of Jason,2.5
"Salò, Or The 120 Days Of Sodom",2.5
The River: 1929,2.5
1900,2
3 Women,2
7th Heaven,2
A Ilha Dos Amores,2
A Man Vanishes,2
A Matter Of Life And Death,2
A New Leaf,2
À Propos De Nice,2
A Time To Love And A Time To Die,2
A Torinói Ió,2
Adieu Philippine,2
Akasen Chitai,2
All About Eve,2
All My Life,2
All That Jazz,2
Amor De Perdição,2
Amour,2
